順位,ジャンル名,楽曲数,割合(%),代表曲例1,代表曲例2,代表曲例3
113,アーバン,1,0.01,Michael Jackson Feat. Slash - D.S. (06-D.S.flac),,
114,アダルトコンテンポラリー,1,0.01,Michael Jackson Feat. Slash - D.S. (06-D.S.flac),,
115,ネオ ソウル,1,0.01,Santana Feat. Lauryn Hill & Cee-Lo - Do You Like The Way (06-Do You Like The Way.flac),,
116,ラテン ロック (一般),1,0.01,Santana Feat. Maná - Corazón Espinado (09-Corazón Espinado.flac),,
117,インストゥルメンタル ロック,1,0.01,Santana Feat. Eric Clapton - The Calling (13-The Calling.flac),,
118,コンテンポラリー カントリー,1,0.01,Taylor Swift Feat. Dixie Chicks - Soon You'll Get Better (12-Soon You'll Get Better.flac),,
119,現代: 器楽,1,0.01,Karl Jenkins - 霧の浅瀬 (01-霧の浅瀬.flac),,
120,ニュー アコースティック,1,0.01,GONTITI - 放課後の音楽室 (07-放課後の音楽室.flac),,
121,ドリーム ポップ,1,0.01,Rodrigo Leão - アヴェ・ムンディ (14-アヴェ・ムンディ.flac),,
122,フュージョン,1,0.01,鳥山雄司 - ソング・オブ・ライフ (17-ソング・オブ・ライフ.flac),,
123,クラシカル クロスオーバー: 器楽,1,0.01,Secret Garden - 祈り (03-祈り.flac),,
124,ニュー エイジ ポップ,1,0.01,Enigma - Return To Innocence (04-Return To Innocence.flac),,
125,アダルト オルタナティブ ニュー エイジ,1,0.01,ウォン・ウィンツァン - 運命と絆 (05-運命と絆.flac),,
126,ポップ (中国) (一般),1,0.01,王菲 - EYES ON ME -featured in FINAL FANTASY VIII (06-EYES ON ME -featured in FINAL FANTASY VIII.flac),,
127,ニュー トラディショナル (日本),1,0.01,東儀秀樹 - ニュー・エイジア (08-ニュー・エイジア.flac),,
128,エスニック-ラウンジ エレクトロニカ,1,0.01,Hevia - ブシンドレ・リール (15-ブシンドレ・リール.flac),,
129,南ヨーロッパ & 地中海,1,0.01,Madredeus - 終焉 (17-終焉.flac),,
